date,description,amount,category
01/01/2025 06:00:20,Spotify,20,Entertainment
01/02/2025 07:00:26,Netflix,21,Entertainment
01/03/2025 08:00:28,Online Purchase,100,Shopping
01/04/2025 09:00:36,Eye Care,250,Health
01/05/2025 09:00:37,Textbooks,50,Education
01/06/2025 06:01:44,Furniture,1500,Housing
01/07/2025 06:01:57,Tuition,2500,Education
01/08/2025 12:01:57,School Supplies,250,Education
01/09/2025 15:02:12,Pet Supplies,50,Personal
01/10/2025 11:02:16,Furniture,1000,Housing
01/11/2025 09:02:43,Farm Fresh,200,Groceries
01/12/2025 07:03:29,Pharmacy,665,Health
01/13/2025 15:03:34,Home Depot,500,Shopping
01/14/2025 20:04:34,Netflix,30,Entertainment
01/15/2025 21:04:47,Burger King,75,Dining
01/16/2025 11:05:07,Home Repair,2000,Housing
01/17/2025 10:05:14,Tuition,505,Education
01/18/2025 08:06:07,Haircut,150,Personal
01/19/2025 03:06:18,Library Fee,22,Education
01/20/2025 04:06:42,Target Groceries,200,Groceries
01/21/2025 05:06:42,Amazon,200,
01/22/2025 04:06:42,Amazon,205,
01/22/2025 04:06:42,Amazon,205,
