date,description,amount,category
01/01/2025 08:45:25,Trader Joe's - Weekly Shopping - Shopping Center #9108,259.99,Groceries
01/01/2025 10:00:00,Health Plus Insurance - Premium,283.63,Health
01/01/2025 11:00:00,FitLife Gym - Monthly Membership,52.0,Health
01/01/2025 11:30:00,First National Bank - Mortgage Payment,2128.65,Housing
01/01/2025 11:30:00,Verizon Wireless - Annual Contract,117.5,Utilities
01/01/2025 13:15:00,Workshop Central Mobile App - Library Fine,464.5,Education
01/01/2025 14:30:00,City Water Dept - Service Charge,43.8,Utilities
01/01/2025 15:00:00,Property Management Co - Monthly Rent,1780.98,Housing
01/02/2025 11:00:00,Comcast Internet Meter Reading - Monthly Bill,41.79,Utilities
01/02/2025 14:15:00,Property Tax - Home & Garden #2899,2534.99,Housing
01/03/2025 09:30:00,Therapy Session - LabCorp,85.07,Health
01/03/2025 15:00:00,Personal Care at PetSmart,66.07,Personal
01/03/2025 15:30:00,Netflix - Premium Plan,15.78,Entertainment
01/03/2025 17:00:00,Walmart Village Square - Snacks & Beverages,118.0,Groceries
01/03/2025 18:45:00,Bridge Authority (Highway I-95) #6326,34.14,Transportation
01/03/2025 19:50:00,Yellow Cab - Fuel & Snacks - Express Lane,4.28,Transportation
01/04/2025 09:15:00,Kroger Downtown - Frozen Foods #1624,122.5,Groceries
01/04/2025 10:45:00,Fresh Bread - Walmart,39.84,Groceries
01/04/2025 13:15:00,Textbook Bundle - Skillshare,201.99,Education
01/04/2025 13:15:32,Subway Airport - Lunch Special,26.94,Dining
01/04/2025 15:07:00,Waste Management - Seasonal Adjustment,175.75,Utilities
01/04/2025 15:45:00,Study Hub - Tuition Payment - Registrar Office,938.95,Education
01/05/2025 11:41:11,Language Learning - Study Hub,92.89,Education
01/05/2025 15:00:55,IKEA Store #1254 - Outdoor Gear,586.5,Shopping
01/05/2025 16:30:00,Vision Center Medical Plaza - Supplements,315.99,Health
01/05/2025 17:47:00,Panera Bread Financial District - Coffee & Pastry,182.25,Dining
01/05/2025 18:15:00,Happy Hour at Starbucks,12.45,Dining
01/06/2025 09:00:22,CVS Pharmacy - Prescription Refill,388.75,Health
01/06/2025 09:30:00,Dairy Products - Costco,105.25,Groceries
01/06/2025 14:45:00,City Library - School Supplies,455.0,Education
01/06/2025 19:00:00,H&M Fashion (Day Spa),43.89,Personal
01/06/2025 20:09:00,Snacks & Beverages at Whole Foods Market,218.99,Groceries
01/07/2025 14:30:00,Wellness Therapy - Eye Exam #6706,189.0,Health
01/07/2025 19:00:28,PetSmart Fashion District - Dry Cleaning,49.93,Personal
01/08/2025 11:50:00,Swift Movers - Property Tax - Apt 4B,2505.99,Housing
01/08/2025 14:30:00,Comcast Internet - Monthly Plan,83.86,Utilities
01/08/2025 14:45:00,Home Insurance - Handy Home Repair #7974,1044.95,Housing
01/08/2025 15:15:00,Quick Wash Laundry Day Spa - Birthday Gift #9593,220.99,Personal
01/09/2025 20:19:38,AMC Theaters - Concert Event - Digital Platform #3975,32.25,Entertainment
01/09/2025 21:15:00,Late Night Snack - Food Truck,123.0,Dining
01/10/2025 11:45:00,New Outfit at PetSmart #5726,195.75,Personal
01/10/2025 11:45:00,State Farm Insurance Policy Update - Monthly Rent,2277.25,Housing
01/10/2025 14:29:00,Training Program - Duolingo Plus,424.0,Education
01/10/2025 14:42:00,Heating Solutions - Equipment Rental #6949,120.0,Utilities
01/10/2025 15:15:00,Monthly Membership at Health Plus Insurance,129.25,Health
01/11/2025 09:15:00,Greenwood HOA Loan #987654 - Garden Makeover,811.95,Housing
01/11/2025 14:30:00,Emergency Repair - City Water Dept,115.99,Utilities
01/11/2025 20:15:00,Gaming Bundle at GameStop,117.0,Entertainment
01/12/2025 09:15:00,Yellow Cab (Business District),72.31,Transportation
01/12/2025 10:30:38,Bulk Items - Safeway,37.04,Groceries
01/12/2025 12:00:00,Spotify - Family Plan,15.43,Entertainment
01/12/2025 19:34:00,Kroger - Household Items,183.5,Groceries
01/12/2025 19:40:00,Toll Road - Yellow Cab,22.73,Transportation
01/12/2025 21:30:18,Disney+ - Annual Membership,104.25,Entertainment
01/13/2025 08:38:00,Corner Café - Coffee & Pastry - Financial District,24.13,Dining
01/13/2025 19:00:00,Meat & Seafood - Safeway,103.22,Groceries
01/13/2025 19:45:00,McDonald's - Catering,182.99,Dining
01/14/2025 09:45:00,State University - Textbook Bundle - Digital Download #8646,560.95,Education
01/14/2025 10:15:00,Weekly Shopping - Trader Joe's #3500,63.51,Groceries
01/14/2025 11:30:00,Local Market - Household Items - Shopping Center #2497,81.55,Groceries
01/14/2025 15:00:00,Usage Fee at ADT Security,291.75,Utilities
01/14/2025 19:15:00,Trader Joe's - Dairy Products - Main St,133.5,Groceries
01/15/2025 08:00:28,Chipotle - Dinner for Two,70.3,Dining
01/15/2025 10:00:00,Haircut & Style - Personal Care Plus,217.5,Personal
01/15/2025 14:00:00,Pacific Gas & Electric - Monthly Bill,88.56,Utilities
01/15/2025 16:00:29,Outdoor Gear - Macy's,100.75,Shopping
01/15/2025 19:30:00,Steam - Movie Tickets,133.99,Entertainment
01/15/2025 20:15:00,Digital Content at Netflix #6952,66.75,Entertainment
01/15/2025 21:45:00,Digital Content at Apple TV+,54.22,Entertainment
01/16/2025 08:18:00,Target - Meat & Seafood - South Location,42.84,Groceries
01/16/2025 10:30:00,Language Learning - City Library,476.25,Education
01/16/2025 18:15:00,Season Pass at Ticketmaster,113.0,Entertainment
01/16/2025 19:15:00,Bus Pass - Car Wash Premium #1432,4.47,Transportation
01/17/2025 07:15:00,Weekend Trip at Uber #8145,58.31,Transportation
01/17/2025 11:45:00,Kroger Eastside - Meat & Seafood,13.83,Groceries
01/17/2025 14:30:00,Skillshare - Language Learning,33.92,Education
01/18/2025 12:03:00,Weekend Brunch - Corner Café #8031,24.74,Dining
01/18/2025 15:15:33,Target - Garden Supplies #1319,323.99,Shopping
01/18/2025 18:15:19,Hobby Lobby Gift Shop - Personal Care,19.7,Personal
01/19/2025 09:15:00,Wellness Therapy (Lab Facility) #4568,166.75,Health
01/19/2025 11:00:00,Greenwood HOA Service Call - Moving Services,2586.5,Housing
01/19/2025 17:00:00,Chipotle - Happy Hour,86.72,Dining
01/20/2025 10:17:00,HOA Assessment - CleanPro Services #9518,2828.5,Housing
01/20/2025 11:14:00,Gift Gallery (Fashion District),65.4,Personal
01/20/2025 19:15:00,Bridge Authority Shopping Mall - Weekend Trip,54.8,Transportation
01/21/2025 10:45:00,State Farm Insurance (Residential) #7408,2821.95,Housing
01/21/2025 11:15:00,Target Super Center - Sports Equipment #9780,290.5,Shopping
01/21/2025 15:12:00,H&M Fashion (Beauty Counter) #2559,144.5,Personal
01/21/2025 19:30:00,Bridge Authority (Main Terminal),41.28,Transportation
01/21/2025 20:15:00,HBO Max - Premium Plan,211.99,Entertainment
01/21/2025 20:45:00,Sports Equipment - Target #1311,50.99,Shopping
